County,lat,lon
Alachua,29.6575,-82.3018
Baker,30.357,-82.134
Bay,30.1811,-85.6848
Bradford,29.957,-82.125
Brevard,28.3245,-80.7354
Broward,26.1901,-80.3585
Calhoun,30.1811,-85.0852
Charlotte,26.9337,-81.7753
Citrus,28.092,-82.454
Clay,29.9668,-81.7114
Collier,26.1693,-81.4262
Columbia,30.181,-82.605
DeSoto,27.021,-81.8006
Dixie,29.5512,-83.2784
Duval,30.3322,-81.7744
Escambia,30.6954,-87.2503
Flagler,29.4082,-81.4626
Franklin,29.781,-84.6029
Gadsden,30.5565,-84.5894
Gilchrist,29.6263,-82.8139
Glades,26.748,-81.3747
Gulf,29.7918,-85.0255
Hamilton,30.5575,-82.9763
Hardee,27.5211,-81.826
Hendry,26.5827,-81.2514
Hernando,28.5574,-82.4571
Highlands,27.2098,-81.139
Hillsborough,27.9942,-82.3018
Holmes,30.7619,-85.7176
Indian River,27.6375,-80.427
Jackson,30.7805,-85.189
Jefferson,30.4547,-83.7471
Lafayette,30.1,-83.1546
Lake,28.6434,-81.7241
Lee,26.663,-81.9535
Leon,30.4394,-84.2807
Levy,29.2074,-82.5885
Liberty,30.2727,-84.7345
Madison,30.4767,-83.4066
Manatee,27.498,-82.575
Marion,29.2095,-82.1403
Martin,27.1054,-80.4109
Miami-Dade,25.7617,-80.1918
Monroe,24.6366,-81.513
Nassau,30.5852,-81.8227
Okaloosa,30.5773,-86.6611
Okeechobee,27.2421,-80.8294
Orange,28.5383,-81.3792
Osceola,28.1017,-81.1253
Palm Beach,26.7153,-80.0534
Pasco,28.2299,-82.3662
Pinellas,27.8776,-82.6349
Polk,27.8613,-81.6918
Putnam,29.6264,-81.7741
St. Johns,29.971,-81.427
St. Lucie,27.438,-80.3827
Santa Rosa,30.651,-87.2276
Sarasota,27.3364,-82.5307
Seminole,28.8003,-81.155
Sumter,28.7014,-82.0765
Suwannee,30.5883,-82.9903
Taylor,30.2726,-83.6047
Union,30.0142,-82.3515
Volusia,29.0278,-81.075
Wakulla,30.0867,-84.3544
Walton,30.711,-86.2126
Washington,30.5868,-85.6183
