County,Total Capacity (MW),Unique Technologies,Unique Energy Sources,City,Plant Name,Plant Type,Flood Risk,Wind Vulnerability,Coastal Proximity,Historical Outages,Population 2023
Alachua,4776.5,7.0,4.0,"Gainesville, Archer, Micanopy, High Springs, Newberry","Deerhaven Generating Station, South West Landfill, Micanopy Energy Storage Facility, High Springs Solar Power Plant, Gilchrist County Solar","Natural Gas Steam Turbine, Batteries, Solar Photovoltaic",Low,Low,No,Unknown,1429970.0
Baker,298.0,1.0,1.0,"Glen St. Mary, Glen St Mary","Northern Preserve Solar, Cedar Trail",Solar Photovoltaic,Low,Low,No,Unknown,56736.0
Bay,2657.4,3.0,3.0,"Southport, Panama City, Youngstown","Lansing Smith, WestRock Panama City Mill, FPL Saw Palmetto Solar Energy Center","Natural Gas Fired Combined Cycle, Solar Photovoltaic","Low, High","Low, High","No, Yes",Unknown,572307.0
Brevard,20886.6,5.0,3.0,"Cocoa, Titusville, Merritt Island, Sebastian, Palm Bay, Merrit Island","Cape Canaveral, Indian River Plant, Space Coast Next Gen Solar Energy, Barefoot Bay Solar Energy Center, Palm Bay Solar, Discovery Solar Center","Natural Gas Fired Combined Cycle, Natural Gas Fired Combustion Turbine, Solar Photovoltaic","Low, High",Low,"No, Yes",Unknown,3863874.0
Broward,12281.7,5.0,4.0,"Ft. Lauderdale, Pompano Beach, Pembroke Pines","Lauderdale, CSL Gas Recovery, Pembroke Lakes Mall","Natural Gas Fired Combustion Turbine, Landfill Gas, Solar Photovoltaic","Low, High",Low,"No, Yes",Unknown,5887593.0
Calhoun,447.0,1.0,1.0,"Altha, Clarksville","FPL Chipola River Solar Energy Center, FPL Shirer Branch Solar Energy Center",Solar Photovoltaic,Low,Low,No,Unknown,26940.0
Charlotte,162.0,3.0,3.0,Punta Gorda,Port Charlotte Energy LLC,Landfill Gas,High,Low,Yes,Unknown,206134.0
Citrus,3523.9,3.0,3.0,Crystal River,Crystal River,Natural Gas Fired Combined Cycle,Low,Low,No,Unknown,166696.0
Clay,149.0,1.0,1.0,Green Cove Springs,Magnolia Springs Solar Center,Solar Photovoltaic,Low,Low,No,Unknown,232439.0
Collier,157.0,2.0,2.0,"Naples, Immokalee","Waste Management Naples LFGTE Project, Immokalee","Landfill Gas, Solar Photovoltaic","High, Low","High, Low","Yes, No",Unknown,808620.0
Columbia,358.8,2.0,2.0,"Lake City, Fort White","Sunshine Gateway Solar Energy Center, Columbia Solar Power Plant",Solar Photovoltaic,Low,Low,No,Unknown,146126.0
DeSoto,252.5,2.0,2.0,Arcadia,DeSoto Next Generation Solar Energy,Solar Photovoltaic,Low,Low,No,Unknown,35979.0
Desoto,74.5,1.0,1.0,,,,,,,,0.0
Duval,12216.0,9.0,6.0,"Jacksonville, Baldwin, Duval, Jscksonville","St Johns River Power Park, Brandy Branch, AEP Jacksonville Solar Project, Imeson Solar","Natural Gas Fired Combustion Turbine, Solar Photovoltaic","High, Low","High, Low","Yes, No",Unknown,4123288.0
